RedFighter,BlueFighter,RedOdds,BlueOdds,Winner,TitleBout,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,RedEloCurrent,BlueEloCurrent,WeightClass_Bantamweight,WeightClass_Catch Weight,WeightClass_Featherweight,WeightClass_Flyweight,WeightClass_Heavyweight,WeightClass_Light Heavyweight,WeightClass_Lightweight,WeightClass_Middleweight,WeightClass_Welterweight,WeightClass_Women's Bantamweight,WeightClass_Women's Featherweight,WeightClass_Women's Flyweight,WeightClass_Women's Strawweight,Gender_FEMALE,Gender_MALE,BlueStance_Open Stance,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,BlueStance_Switch ,RedStance_Open Stance,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,BetterRank_Blue,BetterRank_Red,BetterRank_neither
545,1303,0.18768768768768768,0.8103103103103103,1,False,3,2,0,0,33.6818,0.559,1.0455,1.0455,0.396,7,9,50,0,0,0,2,9,2,0,13,0.6901901901901902,0.7717717717717718,0.6501501501501501,0,3,0,43.0,0.497,0.4545,0.7727,0.339,8,4,45,1,0,0,6,7,5,0,18,0.7767767767767768,0.5980980980980981,0.476976976976977,33,35,-2,-3,-1,-5,-5,5,-1,2,-3,-2.54,5.08,-2,-9.3182,0.5909,0.2727,0.9980973372234031,0.6035115666501203,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
962,131,0.01951951951951952,0.9769769769769769,1,True,5,0,3,0,32.9,0.504,0.4,0.4,0.106,3,3,22,0,0,0,1,5,1,0,7,0.9634634634634635,0.8408408408408409,0.8898898898898899,0,1,0,61.8421,0.574,0.5263,1.9474,0.557,13,2,58,12,0,0,7,5,5,0,17,0.964964964964965,0.996996996996997,0.8868868868868869,31,30,0,2,-10,-10,-1,-36,-12,0,-4,0.0,-20.32,1,-28.9421,-0.1263,-1.5474,0.9980276717569094,0.8122224294716929,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
772,69,0.14064064064064064,0.7602602602602602,1,True,5,0,1,0,6.16,0.56,0.2,1.78,0.37,12,1,50,8,0,1,7,5,0,0,13,0.13763763763763764,0.4239239239239239,0.33983983983983984,0,12,0,2.65,0.59,1.1,3.19,0.53,12,1,33,3,0,0,5,2,6,0,13,0.49299299299299304,0.32932932932932935,0.476976976976977,31,35,0,-11,0,0,0,17,5,3,-6,-10.16,2.54,4,3.51,-0.9,-1.41,0.997991525442498,0.9992465970221406,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False
69,1974,0.34034034034034033,0.5548763048763049,1,True,5,0,2,0,4.65,0.46,0.7,0.69,0.27,6,2,37,2,0,2,3,4,1,0,10,0.5915915915915916,0.4239239239239239,0.33983983983983984,1,0,0,6.16,0.56,0.2,1.78,0.37,12,1,47,8,0,1,7,4,0,0,12,0.14414414414414414,0.42342342342342343,0.33583583583583587,34,30,-1,2,-6,-2,1,-10,-6,0,1,12.7,0.0,-4,-1.51,0.5,-1.09,0.997675517661223,0.9784097960126195,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
1325,243,0.6356356356356356,0.3613613613613614,1,True,5,0,6,0,35.5714,0.347,1.1429,0.1429,0.047,6,1,16,0,0,0,0,3,3,0,6,0.30180180180180183,0.25075075075075076,0.33983983983983984,0,12,0,74.2778,0.432,0.3889,0.2222,0.167,12,3,46,3,0,1,4,8,2,0,15,0.5865865865865866,0.25475475475475473,0.476976976976977,27,27,0,-6,-6,-9,2,-30,-3,-5,1,-7.62,0.0,0,-38.7063,0.754,-0.0794,0.9976507139534606,0.9639137723737919,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
1066,985,0.2732732732732733,0.7012012012012012,1,True,5,0,3,0,4.33,0.47,0.4,1.7,0.59,4,7,65,1,0,1,8,7,1,0,17,0.5915915915915916,0.6886886886886887,0.6501501501501501,0,11,0,4.6,0.52,0.2,3.44,0.5,11,0,38,3,0,0,8,2,1,0,11,0.6821821821821821,0.8328328328328328,0.6441441441441442,33,36,0,-8,-7,6,-7,27,-2,5,0,-2.54,-5.08,-3,-0.27,0.2,-1.74,0.9971961794585208,0.959572678109148,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False
1881,129,0.13613613613613612,0.862862862862863,1,False,3,0,1,0,34.8571,0.477,0.7143,0.5714,0.154,5,6,36,4,0,1,1,2,4,0,8,0.48998998998999,0.514014014014014,0.6501501501501501,0,10,0,51.2857,0.419,1.0714,0.4286,0.297,10,1,31,2,0,1,3,2,6,1,13,0.5865865865865866,0.8328328328328328,0.476976976976977,34,31,0,-9,-5,-5,-5,5,2,-1,-2,-2.54,-10.16,3,-16.4286,-0.3571,0.1429,0.9970389940842235,0.8119971155530498,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
1325,655,0.15365365365365366,0.8408408408408408,1,True,5,0,1,1,3.6,0.4,0.3,2.34,0.31,5,6,83,9,0,0,10,5,2,0,17,0.13763763763763764,0.1921921921921922,0.33983983983983984,1,0,0,6.66,0.44,0.4,0.24,0.83,13,4,55,6,0,1,4,9,2,0,16,0.5865865865865866,0.25475475475475473,0.33583583583583587,27,37,1,1,-8,1,-2,28,3,-4,0,-12.7,-2.54,-10,-3.06,-0.1,2.1,0.9970028506842636,0.9615466727169218,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
566,407,0.5808167080894354,0.3983983983983984,1,False,5,1,0,0,5.32,0.49,0.1,0.67,0.55,7,3,27,4,1,0,1,8,0,0,10,0.39139139139139134,0.6886886886886887,0.482982982982983,0,2,0,5.62,0.5,1.2,1.5,0.36,5,6,64,2,1,0,6,10,3,0,20,0.3993993993993994,0.511011011011011,0.476976976976977,32,32,1,-2,2,-10,-3,-37,2,-2,-3,0.0,5.08,0,-0.3,-1.1,-0.83,0.9969942463795698,0.9850614465520047,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
1108,566,0.1086086086086086,0.8888888888888888,1,True,5,0,5,0,5.51,0.49,1.2,1.55,0.37,5,5,54,1,1,0,5,9,3,0,18,0.39139139139139134,0.514014014014014,0.482982982982983,0,11,0,4.11,0.49,0.7,5.35,0.47,11,0,33,2,0,0,6,2,3,0,11,0.49299299299299304,0.32932932932932935,0.476976976976977,30,30,0,-6,-6,7,-5,21,-1,7,0,-2.54,5.08,0,1.4,0.5,-3.8,0.9968490957467334,0.9969742775695363,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
