RedFighter,BlueFighter,Winner,TitleBout,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,RedEloCurrent,BlueEloCurrent,EloDiff,WeightClass_Bantamweight,WeightClass_Catch Weight,WeightClass_Featherweight,WeightClass_Flyweight,WeightClass_Heavyweight,WeightClass_Light Heavyweight,WeightClass_Lightweight,WeightClass_Middleweight,WeightClass_Welterweight,WeightClass_Women's Bantamweight,WeightClass_Women's Featherweight,WeightClass_Women's Flyweight,WeightClass_Women's Strawweight,Gender_FEMALE,Gender_MALE,BlueStance_Open Stance,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,RedStance_Open Stance,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,BetterRank_Blue,BetterRank_Red,BetterRank_neither
403,1597,0,False,3,0,0,0,2.46,0.33,0.9,1.45,0.43,0,0,0,0,0,0,0,0,0,0,0,0.31931931931931934,0.15565565565565564,0.36936936936936937,1,0,0,2.56,0.33,0.9,0.44,0.11,0,1,2,0,0,0,0,0,0,0,0,0.4129129129129129,0.5230230230230231,0.4984984984984985,34,26,-1,0,0,0,-1,-2,0,0,0,-2.539999999999992,-12.699999999999989,-8,-0.1,0.0,1.01,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
483,622,0,False,3,0,0,0,3.13,0.45,0.5,0.98,0.42,0,0,0,0,0,0,0,0,0,0,0,0.40240240240240244,0.34534534534534533,0.6551551551551551,0,0,0,0.69,0.75,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5955955955955956,0.43743743743743746,0.7922922922922923,34,33,0,0,0,0,0,0,0,0,0,-5.0800000000000125,-2.539999999999992,-1,2.44,0.5,0.98,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True
1628,1473,0,False,3,0,1,0,4.62,0.44,0.0,0.0,0.0,1,1,2,0,0,0,0,1,0,0,1,0.31931931931931934,0.34534534534534533,0.23823823823823823,0,1,0,4.87,0.39,1.4,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,0.5955955955955956,0.5230230230230231,0.23473473473473472,27,30,0,0,0,0,1,1,0,0,0,-7.620000000000003,-5.079999999999984,3,-0.25,-1.4,0.0,0.14314314314314314,0.5185185185185185,0.44144144144144143,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
594,1069,0,False,3,0,3,0,2.97,0.4,0.0,2.64,0.41,3,1,10,0,0,1,1,1,0,0,3,0.9639639639639639,0.9554554554554555,0.8903903903903904,0,1,0,5.29,0.58,0.6,0.44,0.57,1,0,3,0,0,0,0,1,0,0,1,0.7782782782782782,0.7667667667667668,0.8863863863863863,31,29,0,2,2,2,1,7,0,0,0,7.619999999999976,10.159999999999997,-2,-2.32,-0.6,2.2,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
357,333,0,False,3,0,1,0,3.96,0.26,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,0.6956956956956957,0.5255255255255256,0.6551551551551551,0,0,0,3.13,0.37,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.8508508508508508,0.6881881881881882,0.6541541541541542,25,28,0,1,1,1,0,2,0,1,0,-5.0800000000000125,-5.0800000000000125,3,0.8300000000000001,0.0,0.0,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
320,989,0,False,3,0,0,0,3.35,0.39,0.2,0.23,0.5,0,0,0,0,0,0,0,0,0,0,0,0.9639639639639639,0.9754754754754755,0.8903903903903904,0,0,0,6.04,0.45,0.0,0.09,0.5,0,0,0,0,0,0,0,0,0,0,0,0.9654654654654655,0.9214214214214214,0.9604604604604605,26,27,0,0,0,0,0,0,0,0,0,0.0,5.079999999999984,1,-2.69,0.2,0.14,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
1760,1521,0,True,5,0,2,0,3.1,0.51,1.5,2.63,0.81,2,0,2,0,0,0,0,1,1,0,2,0.23423423423423423,0.2077077077077077,0.23823823823823823,0,1,0,1.72,0.53,0.6,1.68,0.12,1,0,3,0,0,0,1,0,0,0,1,0.23923923923923923,0.27177177177177175,0.23473473473473472,25,27,0,1,1,1,0,-1,0,1,1,0.0,-2.539999999999992,2,1.38,0.9,0.95,0.14314314314314314,0.5185185185185185,0.44144144144144143,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True
1779,1027,0,True,5,0,0,0,3.74,0.42,0.1,1.1,0.34,0,0,0,1,0,0,0,0,0,0,0,0.40240240240240244,0.43743743743743746,0.7917917917917918,0,0,0,3.23,0.48,0.1,0.54,0.38,0,0,0,0,0,0,0,0,0,0,0,0.6891891891891893,0.9469469469469469,0.7922922922922923,28,21,0,0,0,0,0,0,1,0,0,-7.620000000000003,-20.32,-7,0.5100000000000002,0.0,0.56,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True
1630,709,0,True,5,0,2,0,4.15,0.44,2.6,1.54,0.27,2,0,2,0,0,0,0,1,1,0,2,0.23423423423423423,0.11311311311311312,0.1106106106106106,0,2,0,2.69,0.42,0.0,1.02,0.27,2,0,6,0,0,0,2,0,0,0,2,0.15715715715715717,0.04604604604604605,0.10910910910910912,26,27,0,0,0,0,0,-4,0,1,1,2.539999999999992,5.0800000000000125,1,1.4600000000000004,2.6,0.52,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
244,370,0,False,3,0,0,0,3.36,0.42,0.0,1.02,0.35,0,0,0,0,0,0,0,0,0,0,0,0.8488488488488488,0.8843843843843844,0.8903903903903904,1,0,0,1.42,0.21,0.0,1.6,0.33,0,1,3,0,0,0,0,0,0,0,0,0.7782782782782782,0.7667667667667668,0.6541541541541542,30,26,-1,0,0,0,-1,-3,0,0,0,2.539999999999992,5.0800000000000125,-4,1.94,0.0,-0.5800000000000001,0.14314314314314314,0.5185185185185185,0.44144144144144143,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
