RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Igor Pokrajac,Todd Brown,,,,,2011-03-03,"Louisville, Kentucky, USA",USA,Red,False,Light Heavyweight,MALE,3,1,0,0,2.15,0.45,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,205,1,0,0,2.25,0.45,0.2,0.87,0.29,1,3,10,0,0,0,0,0,1,0,1,Orthodox,182.88,187.96,205,32,34,0,0,-1,-1,-2,-7,0,0,-1,-2.539999999999992,-7.620000000000003,2,-0.1,-0.2,-0.87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Mauricio Rua,Jon Jones,,,,,2011-03-19,"Newark, New Jersey, USA",USA,Blue,True,Light Heavyweight,MALE,5,0,3,0,4.38,0.58,0.5,1.89,0.45,3,1,13,16,0,0,2,2,2,0,6,Orthodox,193.04,213.36,248,0,1,0,3.57,0.5,0.7,2.01,0.48,8,4,38,3,0,0,2,16,1,0,19,Orthodox,185.42,193.04,205,29,23,0,2,-5,-13,-3,-25,13,-14,1,7.619999999999976,20.32000000000002,-6,0.81,-0.1999999999999999,-0.1199999999999998,1,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,neither,,,,,,,,,,,
Urijah Faber,Eddie Wineland,,,,,2011-03-19,"Newark, New Jersey, USA",USA,Red,False,Bantamweight,MALE,3,0,4,0,3.4,0.29,0.1,0.34,0.33,4,2,16,3,0,0,2,3,0,0,5,Orthodox,170.18,175.26,135,0,1,0,2.65,0.4,0.8,1.54,0.3,6,3,28,13,0,0,1,2,6,0,9,Orthodox,167.64,170.18,135,31,26,0,3,-2,-4,-1,-12,-10,1,-6,2.539999999999992,5.079999999999984,-5,0.75,-0.7000000000000001,-1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Jim Miller,Kamal Shalorus,,,,,2011-03-19,"Newark, New Jersey, USA",USA,Red,False,Lightweight,MALE,3,0,3,1,3.06,0.32,0.0,2.07,0.5,2,0,10,0,0,1,1,1,0,0,3,Orthodox,172.72,172.72,155,0,6,0,2.99,0.42,1.7,1.52,0.44,6,1,22,0,0,0,4,1,3,0,8,Southpaw,172.72,180.34,155,27,38,0,-3,-4,-5,-1,-12,0,0,-3,0.0,-7.620000000000003,11,0.0699999999999998,-1.7,0.5499999999999998,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Dan Miller,Nate Marquardt,,,,,2011-03-19,"Newark, New Jersey, USA",USA,Blue,False,Middleweight,MALE,3,1,0,0,2.71,0.49,0.8,1.87,0.51,4,4,29,3,0,0,3,4,2,0,9,Orthodox,182.88,187.96,185,0,2,0,2.03,0.36,1.8,1.67,0.54,5,3,21,0,0,1,1,0,5,0,7,Orthodox,185.42,187.96,185,29,31,1,-2,-1,2,1,8,3,4,-3,-2.5400000000000205,0.0,2,0.6800000000000002,-1.0,0.2000000000000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Mirko Filipovic,Brendan Schaub,,,,,2011-03-19,"Newark, New Jersey, USA",USA,Blue,False,Heavyweight,MALE,3,0,3,0,2.92,0.37,0.4,2.32,0.46,3,1,6,1,0,0,1,2,0,0,3,Orthodox,193.04,198.12,245,1,0,2,2.11,0.5,0.3,0.19,0.4,7,8,66,3,0,0,3,21,3,0,27,Southpaw,187.96,185.42,230,36,28,-1,3,-4,-24,-7,-60,-2,-19,-3,5.079999999999984,12.699999999999989,-8,0.81,0.1,2.13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Luiz Cane,Eliot Marshall,,,,,2011-03-19,"Newark, New Jersey, USA",USA,Red,False,Light Heavyweight,MALE,3,1,0,0,1.93,0.27,0.9,0.47,0.33,3,1,10,0,0,1,1,0,1,0,3,Orthodox,187.96,195.58,205,2,0,0,4.79,0.41,0.3,0.56,0.28,3,3,9,0,0,0,1,2,0,0,3,Southpaw,187.96,195.58,185,29,30,-1,0,0,0,-2,1,0,-2,1,0.0,0.0,1,-2.8600000000000003,0.6000000000000001,-0.09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Edson Barboza,Anthony Njokuani,,,,,2011-03-19,"Newark, New Jersey, USA",USA,Red,False,Lightweight,MALE,3,0,1,0,3.94,0.46,0.2,0.5,0.45,3,3,11,0,0,0,0,4,0,0,4,Orthodox,185.42,190.5,155,0,1,0,4.11,0.44,0.1,0.45,0.5,1,0,3,0,0,0,0,1,0,0,1,Orthodox,180.34,190.5,145,25,31,0,0,2,3,3,8,0,3,0,5.0800000000000125,0.0,6,-0.1700000000000003,0.1,0.0499999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Ricardo Almeida,Mike Pyle,,,,,2011-03-19,"Newark, New Jersey, USA",USA,Blue,False,Welterweight,MALE,3,0,2,0,2.74,0.45,1.5,1.8,0.35,3,3,19,0,0,0,2,0,5,0,7,Orthodox,182.88,187.96,170,0,1,0,2.02,0.49,1.2,3.74,0.38,3,4,26,0,0,0,5,0,3,0,8,Orthodox,182.88,187.96,170,34,35,0,1,0,-1,-1,-7,0,0,2,0.0,0.0,1,0.7200000000000002,0.3,-1.94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Kurt Pellegrino,Gleison Tibau,,,,,2011-03-19,"Newark, New Jersey, USA",USA,Blue,False,Lightweight,MALE,3,1,0,0,1.95,0.31,0.8,4.08,0.53,3,5,28,0,0,0,4,1,2,0,7,Southpaw,177.8,180.34,155,1,0,0,2.45,0.43,0.8,2.9,0.54,4,4,28,0,0,0,3,1,4,0,8,Orthodox,172.72,177.8,155,31,27,0,0,-1,-1,1,0,0,0,-2,5.0800000000000125,2.539999999999992,-4,-0.5000000000000002,0.0,1.1800000000000002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Joseph Benavidez,Ian Loveland,,,,,2011-03-19,"Newark, New Jersey, USA",USA,Red,False,Bantamweight,MALE,3,0,1,0,2.71,0.4,0.3,1.0,0.37,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,172.72,145,0,1,0,3.52,0.34,0.6,1.41,0.3,3,2,20,4,0,0,2,1,3,0,6,Southpaw,162.56,165.1,125,26,27,0,0,-2,-5,-2,-17,-4,-1,-3,10.159999999999997,7.620000000000003,1,-0.81,-0.3,-0.4099999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Constantinos Philippou,Nick Catone,,,,,2011-03-19,"Newark, New Jersey, USA",USA,Blue,False,Catch Weight,MALE,3,0,1,0,2.11,0.44,0.5,3.71,0.44,1,2,10,0,0,1,0,0,1,0,2,Southpaw,182.88,182.88,185,0,0,0,2.19,0.35,0.3,0.4,0.42,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,185,31,29,0,1,1,2,2,10,0,0,1,2.539999999999992,-2.5400000000000205,-2,-0.08,0.2,3.31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Erik Koch,Raphael Assuncao,,,,,2011-03-19,"Newark, New Jersey, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,3.22,0.42,0.2,1.65,0.39,2,2,15,0,0,1,2,0,0,0,3,Orthodox,165.1,167.64,135,0,2,0,2.33,0.42,1.0,1.02,0.42,2,1,8,0,0,0,1,1,1,0,3,Southpaw,177.8,180.34,170,22,28,0,-1,0,0,1,7,0,-1,-1,-12.700000000000015,-12.699999999999989,6,0.8900000000000001,-0.8,0.6299999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Phil Davis,Rogerio Nogueira,,,,,2011-03-26,"Seattle, Washington, USA",USA,Red,False,Light Heavyweight,MALE,5,1,0,0,2.43,0.35,0.8,0.64,0.44,7,3,39,0,0,3,3,5,4,0,15,Southpaw,187.96,190.5,205,0,4,0,2.85,0.34,0.6,2.99,0.38,4,0,9,0,0,0,2,0,2,0,4,Orthodox,187.96,200.66,205,26,34,1,-4,3,11,3,30,0,5,2,0.0,-10.159999999999997,8,-0.4199999999999999,0.2,-2.35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Anthony Johnson,Dan Hardy,,,,,2011-03-26,"Seattle, Washington, USA",USA,Red,False,Welterweight,MALE,3,2,0,0,2.46,0.35,0.4,0.73,0.35,4,2,16,1,0,2,1,1,0,0,4,Orthodox,182.88,187.96,170,1,0,0,3.25,0.47,0.6,2.43,0.57,3,3,14,2,0,0,0,5,0,0,5,Orthodox,187.96,198.12,205,27,28,1,0,1,-1,-1,2,-1,-4,0,-5.0800000000000125,-10.159999999999997,1,-0.79,-0.1999999999999999,-1.7000000000000002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
